DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.283893	28	3	3	1	7	2	1	0	14713	28	0	39.1093	0	0
DL	0.284143	28	4	0	1	7	2	1	0	14713	28	0	39.1331	0	0
DL	0.284393	28	4	1	1	7	2	1	0	14713	28	0	39.1122	0	0
DL	0.284643	28	4	2	1	7	2	1	0	14713	28	0	39.0873	0	0
DL	0.284893	28	4	3	1	7	2	1	0	14713	28	0	39.1518	0	0
DL	0.285143	28	5	0	1	7	2	1	0	14713	28	0	39.1236	0	0
DL	0.285393	28	5	1	1	7	2	1	0	14713	28	0	39.1572	0	0
DL	0.285643	28	5	2	1	7	2	1	0	14713	28	0	39.1786	0	0
DL	0.285893	28	5	3	1	7	2	1	0	14713	28	0	39.1835	0	0
UL	0.285911	28	5	3	8	1	2	1	0	2104	28	0	39.1442 	0	0
DL	0.286143	28	6	0	1	7	2	1	0	14713	28	0	39.112	0	0
UL	0.286161	28	6	0	8	1	2	1	0	2104	28	0	39.1488 	0	0
DL	0.286393	28	6	1	1	7	2	1	0	14713	28	0	39.1088	0	0
UL	0.286411	28	6	1	8	1	2	1	0	2104	28	0	39.1314 	0	0
DL	0.286643	28	6	2	1	7	2	1	0	14713	28	0	39.1245	0	0
DL	0.286893	28	6	3	1	7	2	1	0	14713	28	0	39.117	0	0
DL	0.287143	28	7	0	1	7	2	1	0	14713	28	0	39.0461	0	0
DL	0.287393	28	7	1	1	7	2	1	0	14713	28	0	39.0068	0	0
DL	0.287643	28	7	2	1	7	2	1	0	14713	28	0	39.0693	0	0
DL	0.287893	28	7	3	1	7	2	1	0	14713	28	0	39.0504	0	0
DL	0.288143	28	8	0	1	7	2	1	0	14713	28	0	39.0365	0	0
DL	0.288393	28	8	1	1	7	2	1	0	14713	28	0	39.0992	0	0
DL	0.288643	28	8	2	1	7	2	1	0	14713	28	0	39.1497	0	0
DL	0.288893	28	8	3	1	7	2	1	0	14713	28	0	39.1236	0	0
DL	0.289143	28	9	0	1	7	2	1	0	14713	28	0	39.1049	0	0
DL	0.289393	28	9	1	1	7	2	1	0	14713	28	0	39.0764	0	0
DL	0.289643	28	9	2	1	7	2	1	0	14713	28	0	39.0262	0	0
DL	0.289893	28	9	3	1	7	2	1	0	14713	28	0	39.0502	0	0
DL	0.290143	29	0	0	1	7	2	1	0	14713	28	0	39.1111	0	0
DL	0.290393	29	0	1	1	7	2	1	0	14713	28	0	39.0698	0	0
DL	0.290643	29	0	2	1	7	2	1	0	14713	28	0	39.0686	0	0
DL	0.290893	29	0	3	1	7	2	1	0	14713	28	0	39.0189	0	0
DL	0.291143	29	1	0	1	7	2	1	0	14713	28	0	38.9761	0	0
DL	0.291393	29	1	1	1	7	2	1	0	14713	28	0	38.9927	0	0
DL	0.291643	29	1	2	1	7	2	1	0	14713	28	0	38.9486	0	0
DL	0.291893	29	1	3	1	7	2	1	0	14713	28	0	38.9469	0	0
DL	0.292143	29	2	0	1	7	2	1	0	14713	28	0	39.001	0	0
DL	0.292393	29	2	1	1	7	2	1	0	14713	28	0	39.0294	0	0
DL	0.292643	29	2	2	1	7	2	1	0	14713	28	0	38.9742	0	0
DL	0.292893	29	2	3	1	7	2	1	0	14713	28	0	38.9785	0	0
DL	0.293143	29	3	0	1	7	2	1	0	14713	28	0	38.9547	0	0
DL	0.293393	29	3	1	1	7	2	1	0	14713	28	0	38.9832	0	0
DL	0.293643	29	3	2	1	7	2	1	0	14713	28	0	38.9965	0	0
DL	0.293893	29	3	3	1	7	2	1	0	14713	28	0	39.0062	0	0
DL	0.294143	29	4	0	1	7	2	1	0	14713	28	0	38.9591	0	0
DL	0.294393	29	4	1	1	7	2	1	0	14713	28	0	38.9162	0	0
DL	0.294643	29	4	2	1	7	2	1	0	14713	28	0	38.9027	0	0
DL	0.294893	29	4	3	1	7	2	1	0	14713	28	0	38.9036	0	0
DL	0.295143	29	5	0	1	7	2	1	0	14713	28	0	38.9587	0	0
DL	0.295393	29	5	1	1	7	2	1	0	14713	28	0	38.8847	0	0
DL	0.295643	29	5	2	1	7	2	1	0	14713	28	0	38.9269	0	0
DL	0.295893	29	5	3	1	7	2	1	0	14713	28	0	38.8786	0	0
DL	0.296143	29	6	0	1	7	2	1	0	14713	28	0	38.8968	0	0
DL	0.296393	29	6	1	1	7	2	1	0	14713	28	0	38.9109	0	0
DL	0.296643	29	6	2	1	7	2	1	0	14713	28	0	38.9663	0	0
UL	0.296661	29	6	2	8	1	2	1	0	2104	28	0	38.9485 	0	0
DL	0.296893	29	6	3	1	7	2	1	0	14713	28	0	38.9389	0	0
UL	0.296911	29	6	3	8	1	2	1	0	2104	28	0	38.9935 	0	0
DL	0.297143	29	7	0	1	7	2	1	0	14713	28	0	38.9442	0	0
UL	0.297161	29	7	0	8	1	2	1	0	2104	28	0	38.9818 	0	0
DL	0.297393	29	7	1	1	7	2	1	0	14713	28	0	38.8992	0	0
DL	0.297643	29	7	2	1	7	2	1	0	14713	28	0	38.9	0	0
DL	0.297893	29	7	3	1	7	2	1	0	14713	28	0	38.9418	0	0
